Name,Version,Architecture,Description
libhardware2,0.1.0+git20151016+6d424c9-0ubuntu7,amd64,Library to provide access to the Android libhardware HAL
libharfbuzz-icu0:amd64,1.0.1-1ubuntu0.1,amd64,OpenType text shaping engine ICU backend
libharfbuzz0b:amd64,1.0.1-1ubuntu0.1,amd64,OpenType text shaping engine (shared library)
libhcrypto4-heimdal:amd64,1.7~git20150920+dfsg-4ubuntu1.16.04.1,amd64,Heimdal Kerberos - crypto library
libheimbase1-heimdal:amd64,1.7~git20150920+dfsg-4ubuntu1.16.04.1,amd64,Heimdal Kerberos - Base library
libheimntlm0-heimdal:amd64,1.7~git20150920+dfsg-4ubuntu1.16.04.1,amd64,Heimdal Kerberos - NTLM support library
libhogweed4:amd64,3.2-1ubuntu0.16.04.1,amd64,low level cryptographic library (public-key cryptos)
libhpmud0:amd64,3.16.3+repack0-1,amd64,HP Multi-Point Transport Driver (hpmud) run-time libraries
libhtml-form-perl,6.03-1,all,module that represents an HTML form element
libhtml-format-perl,2.11-2,all,module for transforming HTML into various formats
libhtml-parser-perl,3.72-1,amd64,collection of modules that parse HTML text documents
libhtml-tagset-perl,3.20-2,all,Data tables pertaining to HTML
libhtml-tree-perl,5.03-2,all,Perl module to represent and create HTML syntax trees
libhttp-cookies-perl,6.01-1,all,HTTP cookie jars
libhttp-daemon-perl,6.01-1,all,simple http server class
libhttp-date-perl,6.02-1,all,module of date conversion routines
libhttp-message-perl,6.11-1,all,perl interface to HTTP style messages
libhttp-negotiate-perl,6.00-2,all,implementation of content negotiation
libhud2:amd64,14.10+16.04.20160415-0ubuntu1,amd64,library for exporting items to the Unity HUD
libhunspell-1.3-0:amd64,1.3.3-4ubuntu1,amd64,spell checker and morphological analyzer (shared library)
libhx509-5-heimdal:amd64,1.7~git20150920+dfsg-4ubuntu1.16.04.1,amd64,Heimdal Kerberos - X509 support library
libhybris,0.1.0+git20151016+6d424c9-0ubuntu7,amd64,Allows to run bionic-based HW adaptations in glibc systems - libs
libhybris-common1,0.1.0+git20151016+6d424c9-0ubuntu7,amd64,Common library that contains the Android linker and custom hooks
libhyphen0:amd64,2.8.8-2ubuntu1,amd64,ALTLinux hyphenation library - shared library
libibus-1.0-5:amd64,1.5.11-1ubuntu2.1,amd64,Intelligent Input Bus - shared library
libical1a:amd64,1.0.1-0ubuntu2,amd64,iCalendar library implementation in C (runtime)
libice6:amd64,2:1.0.9-1,amd64,X11 Inter-Client Exchange library
libicu55:amd64,55.1-7ubuntu0.4,amd64,International Components for Unicode
libidn11:amd64,1.32-3ubuntu1.2,amd64,"GNU Libidn library, implementation of IETF IDN specifications"
libido3-0.1-0:amd64,13.10.0+16.04.20161028-0ubuntu1,amd64,Shared library providing extra gtk menu items for display in
libiec61883-0:amd64,1.2.0-0.2,amd64,an partial implementation of IEC 61883
libieee1284-3:amd64,0.2.11-12,amd64,cross-platform library for parallel port access
libijs-0.35:amd64,0.35-12,amd64,IJS raster image transport protocol: shared library
libilmbase12:amd64,2.2.0-11ubuntu2,amd64,several utility libraries from ILM used by OpenEXR
libimobiledevice6:amd64,1.2.0+dfsg-3~ubuntu0.2,amd64,Library for communicating with the iPhone and iPod Touch
libindicator3-7,12.10.2+16.04.20151208-0ubuntu1,amd64,panel indicator applet - shared library
libinput-bin,1.6.3-1ubuntu1~16.04.1,amd64,input device management and event handling library - udev quirks
libinput10:amd64,1.6.3-1ubuntu1~16.04.1,amd64,input device management and event handling library - shared library
libio-html-perl,1.001-1,all,open an HTML file with automatic charset detection
libio-pty-perl,1:1.08-1.1build1,amd64,Perl module for pseudo tty IO
libio-socket-inet6-perl,2.72-2,all,object interface for AF_INET6 domain sockets
libio-socket-ssl-perl,2.024-1,all,Perl module implementing object oriented interface to SSL sockets
libio-string-perl,1.08-3,all,Emulate IO::File interface for in-core strings
libipc-run-perl,0.94-1,all,Perl module for running processes
libipc-system-simple-perl,1.25-3,all,"Perl module to run commands simply, with detailed diagnostics"
libisc-export160,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,Exported ISC Shared Library
libisc160:amd64,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,ISC Shared Library used by BIND
libisccc140:amd64,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,Command Channel Library used by BIND
libisccfg140:amd64,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,Config File Handling Library used by BIND
libiscsi2:amd64,1.12.0-2,amd64,iSCSI client shared library
libisl15:amd64,0.16.1-1,amd64,manipulating sets and relations of integer points bounded by linear constraints
libitm1:amd64,5.4.0-6ubuntu1~16.04.9,amd64,GNU Transactional Memory Library
libiw30:amd64,30~pre9-8ubuntu1,amd64,Wireless tools - library
libjack-jackd2-0:amd64,1.9.10+20150825git1ed50c92~dfsg-1ubuntu1,amd64,JACK Audio Connection Kit (libraries)
libjasper1:amd64,1.900.1-debian1-2.4ubuntu1.1,amd64,JasPer JPEG-2000 runtime library
libjavascriptcoregtk-4.0-18:amd64,2.20.2-0ubuntu0.16.04.1,amd64,JavaScript engine library from WebKitGTK+
libjbig0:amd64,2.1-3.1,amd64,JBIGkit libraries
libjbig2dec0,0.12+20150918-1ubuntu0.1,amd64,JBIG2 decoder library - shared libraries
libjpeg-turbo8:amd64,1.4.2-0ubuntu3,amd64,IJG JPEG compliant runtime library.
libjpeg8:amd64,8c-2ubuntu8,amd64,Independent JPEG Group's JPEG runtime library (dependency package)
libjson-c2:amd64,0.11-4ubuntu2,amd64,JSON manipulation library - shared library
libjson-glib-1.0-0:amd64,1.1.2-0ubuntu1,amd64,GLib JSON manipulation library
libjson-glib-1.0-common,1.1.2-0ubuntu1,all,GLib JSON manipulation library (common files)
libk5crypto3:amd64,1.13.2+dfsg-5ubuntu2,amd64,MIT Kerberos runtime libraries - Crypto Library
libkeyutils1:amd64,1.5.9-8ubuntu1,amd64,Linux Key Management Utilities (library)
libklibc,2.0.4-8ubuntu1.16.04.4,amd64,minimal libc subset for use with initramfs
libkmod2:amd64,22-1ubuntu5,amd64,libkmod shared library
libkpathsea6:amd64,2015.20160222.37495-1,amd64,TeX Live: path search library for TeX (runtime part)
libkrb5-26-heimdal:amd64,1.7~git20150920+dfsg-4ubuntu1.16.04.1,amd64,Heimdal Kerberos - libraries
libkrb5-3:amd64,1.13.2+dfsg-5ubuntu2,amd64,MIT Kerberos runtime libraries
libkrb5support0:amd64,1.13.2+dfsg-5ubuntu2,amd64,MIT Kerberos runtime libraries - Support library
libksba8:amd64,1.3.3-1ubuntu0.16.04.1,amd64,X.509 and CMS support library
liblangtag-common,0.5.7-2ubuntu1,all,library to access tags for identifying languages -- data
liblangtag1:amd64,0.5.7-2ubuntu1,amd64,library to access tags for identifying languages
liblcms2-2:amd64,2.6-3ubuntu2,amd64,Little CMS 2 color management library
liblcms2-utils,2.6-3ubuntu2,amd64,Little CMS 2 color management library (utilities)
libldap-2.4-2:amd64,2.4.42+dfsg-2ubuntu3.2,amd64,OpenLDAP libraries
libldb1:amd64,2:1.1.24-1ubuntu3,amd64,LDAP-like embedded database - shared library
liblightdm-gobject-1-0:amd64,1.18.3-0ubuntu1.1,amd64,LightDM GObject client library
liblircclient0:amd64,0.9.0-0ubuntu6,amd64,infra-red remote control support - client library
liblist-moreutils-perl,0.413-1build1,amd64,Perl module with additional list functions not found in List::Util
libllvm3.8:amd64,1:3.8-2ubuntu4,amd64,"Modular compiler and toolchain technologies, runtime library"
libllvm5.0:amd64,1:5.0-3~16.04.1,amd64,"Modular compiler and toolchain technologies, runtime library"
liblocale-gettext-perl,1.07-1build1,amd64,module using libc functions for internationalization in Perl
liblouis-data,2.6.4-2ubuntu0.1,all,Braille translation library - data
liblouis9:amd64,2.6.4-2ubuntu0.1,amd64,Braille translation library - shared libs
liblouisutdml-bin,2.5.0-3,amd64,Braille UTDML translation utilities
liblouisutdml-data,2.5.0-3,all,Braille UTDML translation library - data
liblouisutdml6:amd64,2.5.0-3,amd64,Braille UTDML translation library - shared libs
liblqr-1-0:amd64,0.4.2-2,amd64,converts plain array images into multi-size representation
liblsan0:amd64,5.4.0-6ubuntu1~16.04.9,amd64,LeakSanitizer -- a memory leak detector (runtime)
libltdl7:amd64,2.4.6-0.1,amd64,System independent dlopen wrapper for GNU libtool
liblua5.2-0:amd64,5.2.4-1ubuntu1,amd64,Shared library for the Lua interpreter version 5.2
liblwp-mediatypes-perl,6.02-1,all,module to guess media type for a file or a URL
liblwp-protocol-https-perl,6.06-2,all,HTTPS driver for LWP::UserAgent
liblwres141:amd64,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,Lightweight Resolver Library used by BIND
liblz4-1:amd64,0.0~r131-2ubuntu2,amd64,Fast LZ compression algorithm library - runtime
liblzma5:amd64,5.1.1alpha+20120614-2ubuntu2,amd64,XZ-format compression library
liblzo2-2:amd64,2.08-1.2,amd64,data compression library
libmagic1:amd64,1:5.25-2ubuntu1,amd64,"File type determination library using ""magic"" numbers"
libmagickcore-6.q16-2:amd64,8:6.8.9.9-7ubuntu5.9,amd64,low-level image manipulation library -- quantum depth Q16
libmagickcore-6.q16-2-extra:amd64,8:6.8.9.9-7ubuntu5.9,amd64,low-level image manipulation library - extra codecs (Q16)
libmagickwand-6.q16-2:amd64,8:6.8.9.9-7ubuntu5.9,amd64,image manipulation library
libmailtools-perl,2.13-1,all,Manipulate email in perl programs
libmbim-glib4:amd64,1.14.0-1ubuntu0.16.04.1,amd64,Support library to use the MBIM protocol
libmbim-proxy,1.14.0-1ubuntu0.16.04.1,amd64,Proxy to communicate with MBIM ports
libmedia1,0.1.0+git20151016+6d424c9-0ubuntu7,amd64,Library to provide access to the Android Media HAL
libmediaart-2.0-0:amd64,1.9.0-2,amd64,media art extraction and cache management library
libmessaging-menu0:amd64,13.10.1+15.10.20150505-0ubuntu1,amd64,Messaging Menu - shared library
libmetacity-private3a:amd64,1:3.18.7-0ubuntu0.3,amd64,library for the Metacity window manager
libmhash2:amd64,0.9.9.9-7,amd64,Library for cryptographic hashing and message authentication
libminiupnpc10:amd64,1.9.20140610-2ubuntu2.16.04.2,amd64,UPnP IGD client lightweight library
libmirclient9:amd64,0.26.3+16.04.20170605-0ubuntu1.1,amd64,Display server for Ubuntu - client library
libmircommon5:amd64,0.21.0+16.04.20160330-0ubuntu1,amd64,Display server for Ubuntu - shared library
libmircommon7:amd64,0.26.3+16.04.20170605-0ubuntu1.1,amd64,Display server for Ubuntu - shared library
libmircore1:amd64,0.26.3+16.04.20170605-0ubuntu1.1,amd64,Display server for Ubuntu - shared library
libmirprotobuf3:amd64,0.26.3+16.04.20170605-0ubuntu1.1,amd64,Display server for Ubuntu - RPC definitions
libmm-glib0:amd64,1.6.4-1ubuntu0.16.04.1,amd64,D-Bus service for managing modems - shared libraries
libmng2:amd64,2.0.2-0ubuntu3,amd64,Multiple-image Network Graphics library
libmnl0:amd64,1.0.3-5,amd64,minimalistic Netlink communication library
libmount1:amd64,2.27.1-6ubuntu3.4,amd64,device mounting library
libmpc3:amd64,1.0.3-1,amd64,multiple precision complex floating-point library
libmpdec2:amd64,2.4.2-1,amd64,library for decimal floating point arithmetic (runtime library)
libmpfr4:amd64,3.1.4-1,amd64,multiple precision floating-point computation
libmpx0:amd64,5.4.0-6ubuntu1~16.04.9,amd64,Intel memory protection extensions (runtime)
libmspub-0.1-1:amd64,0.1.2-2ubuntu1,amd64,library for parsing the mspub file structure
libmtdev1:amd64,1.1.5-1ubuntu2,amd64,Multitouch Protocol Translation Library - shared library
libmtp-common,1.1.10-2ubuntu1,all,Media Transfer Protocol (MTP) common files
libmtp-runtime,1.1.10-2ubuntu1,amd64,Media Transfer Protocol (MTP) runtime tools
libmtp9:amd64,1.1.10-2ubuntu1,amd64,Media Transfer Protocol (MTP) library
libmwaw-0.3-3:amd64,0.3.7-1ubuntu2.1,amd64,import library for some old Mac text documents
libmythes-1.2-0:amd64,2:1.2.4-1ubuntu3,amd64,simple thesaurus library
libnatpmp1:amd64,20110808-4,amd64,portable and fully compliant implementation of NAT-PMP
libnautilus-extension1a:amd64,1:3.18.4.is.3.14.3-0ubuntu6,amd64,libraries for nautilus components - runtime version
libncurses5:amd64,6.0+20160213-1ubuntu1,amd64,shared libraries for terminal handling
libncurses5-dev:amd64,6.0+20160213-1ubuntu1,amd64,developer's libraries for ncurses
libncursesw5:amd64,6.0+20160213-1ubuntu1,amd64,shared libraries for terminal handling (wide character support)
libndp0:amd64,1.4-2ubuntu0.16.04.1,amd64,Library for Neighbor Discovery Protocol
libneon27-gnutls:amd64,0.30.1-3build1,amd64,HTTP and WebDAV client library (GnuTLS enabled)
libnet-dbus-perl,1.1.0-3build1,amd64,Perl extension for the DBus bindings
libnet-dns-perl,0.81-2build1,amd64,Perform DNS queries from a Perl script
libnet-domain-tld-perl,1.73-1,all,list of currently available Top-level Domains (TLDs)
libnet-http-perl,6.09-1,all,module providing low-level HTTP connection client
libnet-ip-perl,1.26-1,all,Perl extension for manipulating IPv4/IPv6 addresses
libnet-libidn-perl,0.12.ds-2build2,amd64,Perl bindings for GNU Libidn
libnet-smtp-ssl-perl,1.03-1,all,Perl module providing SSL support to Net::SMTP
libnet-ssleay-perl,1.72-1build1,amd64,Perl module for Secure Sockets Layer (SSL)
libnetfilter-conntrack3:amd64,1.0.5-1,amd64,Netfilter netlink-conntrack library
libnetpbm10,2:10.0-15.3,amd64,Graphics conversion tools shared libraries
libnettle6:amd64,3.2-1ubuntu0.16.04.1,amd64,low level cryptographic library (symmetric and one-way cryptos)
libnewt0.52:amd64,0.52.18-1ubuntu2,amd64,Not Erik's Windowing Toolkit - text mode windowing with slang
libnfnetlink0:amd64,1.0.1-3,amd64,Netfilter netlink library
libnih-dbus1:amd64,1.0.3-4.3ubuntu1,amd64,NIH D-Bus Bindings Library
libnih1:amd64,1.0.3-4.3ubuntu1,amd64,NIH Utility Library
libnl-3-200:amd64,3.2.27-1ubuntu0.16.04.1,amd64,library for dealing with netlink sockets
libnl-genl-3-200:amd64,3.2.27-1ubuntu0.16.04.1,amd64,library for dealing with netlink sockets - generic netlink
libnm-glib-vpn1:amd64,1.2.6-0ubuntu0.16.04.2,amd64,network management framework (GLib VPN shared library)
libnm-glib4:amd64,1.2.6-0ubuntu0.16.04.2,amd64,network management framework (GLib shared library)
libnm-gtk-common,1.2.6-0ubuntu0.16.04.4,all,library for wireless and mobile dialogs - common files
libnm-gtk0:amd64,1.2.6-0ubuntu0.16.04.4,amd64,library for wireless and mobile dialogs (libnm-glib version)
libnm-util2:amd64,1.2.6-0ubuntu0.16.04.2,amd64,network management framework (shared library)
libnm0:amd64,1.2.6-0ubuntu0.16.04.2,amd64,GObject-based client library for NetworkManager
libnma-common,1.2.6-0ubuntu0.16.04.4,all,library for wireless and mobile dialogs - common files
libnma0:amd64,1.2.6-0ubuntu0.16.04.4,amd64,library for wireless and mobile dialogs (libnm version)
libnotify-bin,0.7.6-2svn1,amd64,sends desktop notifications to a notification daemon (Utilities)
libnotify4:amd64,0.7.6-2svn1,amd64,sends desktop notifications to a notification daemon
libnpth0:amd64,1.2-3,amd64,replacement for GNU Pth using system threads
libnspr4:amd64,2:4.13.1-0ubuntu0.16.04.1,amd64,NetScape Portable Runtime Library
libnss-mdns:amd64,0.10-7,amd64,NSS module for Multicast DNS name resolution
libnss3:amd64,2:3.28.4-0ubuntu0.16.04.3,amd64,Network Security Service libraries
libnss3-nssdb,2:3.28.4-0ubuntu0.16.04.3,all,Network Security Security libraries - shared databases
libnuma1:amd64,2.0.11-1ubuntu1.1,amd64,Libraries for controlling NUMA policy
libnux-4.0-0,4.0.8+16.04.20170816-0ubuntu1,amd64,Visual rendering toolkit for real-time applications - shared lib
libnux-4.0-common,4.0.8+16.04.20170816-0ubuntu1,all,Visual rendering toolkit for real-time applications - common files
liboauth0:amd64,1.0.3-0ubuntu2,amd64,C library for implementing OAuth 1.0
libodfgen-0.1-1,0.1.6-1ubuntu2,amd64,library to generate ODF documents
libogg0:amd64,1.3.2-1,amd64,Ogg bitstream library
libopenexr22:amd64,2.2.0-10ubuntu2,amd64,runtime files for the OpenEXR image library
libopus0:amd64,1.1.2-1ubuntu1,amd64,Opus codec runtime library
liborc-0.4-0:amd64,1:0.4.25-1,amd64,Library of Optimized Inner Loops Runtime Compiler
liborcus-0.10-0v5:amd64,0.9.2-4ubuntu2,amd64,library for processing spreadsheet documents
liboxideqt-qmlplugin:amd64,1.21.5-0ubuntu0.16.04.1,amd64,Web browser engine for Qt (QML plugin)
liboxideqtcore0:amd64,1.21.5-0ubuntu0.16.04.1,amd64,Web browser engine for Qt (core library and components)
liboxideqtquick0:amd64,1.21.5-0ubuntu0.16.04.1,amd64,Web browser engine for Qt (QtQuick library)
libp11-kit-gnome-keyring:amd64,3.18.3-0ubuntu2,amd64,GNOME keyring module for the PKCS#11 module loading library
libp11-kit0:amd64,0.23.2-5~ubuntu16.04.1,amd64,library for loading and coordinating access to PKCS#11 modules - runtime
libpackagekit-glib2-16:amd64,0.8.17-4ubuntu6~gcc5.4ubuntu1.2,amd64,Library for accessing PackageKit using GLib
libpagemaker-0.0-0:amd64,0.0.3-1ubuntu1,amd64,Library for importing and converting PageMaker Documents
libpam-gnome-keyring:amd64,3.18.3-0ubuntu2,amd64,PAM module to unlock the GNOME keyring upon login
libpam-modules:amd64,1.1.8-3.2ubuntu2.1,amd64,Pluggable Authentication Modules for PAM
libpam-modules-bin,1.1.8-3.2ubuntu2.1,amd64,Pluggable Authentication Modules for PAM - helper binaries
libpam-runtime,1.1.8-3.2ubuntu2.1,all,Runtime support for the PAM library
libpam-systemd:amd64,229-4ubuntu21.2,amd64,system and service manager - PAM module
libpam0g:amd64,1.1.8-3.2ubuntu2.1,amd64,Pluggable Authentication Modules library
libpango-1.0-0:amd64,1.38.1-1,amd64,Layout and rendering of internationalized text
libpango-perl,1.227-1,amd64,Perl module to layout and render international text
libpango1.0-0:amd64,1.38.1-1,amd64,Layout and rendering of internationalized text (transitional package)
libpangocairo-1.0-0:amd64,1.38.1-1,amd64,Layout and rendering of internationalized text
libpangoft2-1.0-0:amd64,1.38.1-1,amd64,Layout and rendering of internationalized text
libpangomm-1.4-1v5:amd64,2.38.1-1,amd64,C++ Wrapper for pango (shared libraries)
libpangox-1.0-0:amd64,0.0.2-5,amd64,pango library X backend
libpangoxft-1.0-0:amd64,1.38.1-1,amd64,Layout and rendering of internationalized text
libpaper-utils,1.1.24+nmu4ubuntu1,amd64,library for handling paper characteristics (utilities)
libpaper1:amd64,1.1.24+nmu4ubuntu1,amd64,library for handling paper characteristics
libparse-debianchangelog-perl,1.2.0-8,all,parse Debian changelogs and output them in other formats
libparted2:amd64,3.2-15ubuntu0.1,amd64,disk partition manipulator - shared library
libpcap0.8:amd64,1.7.4-2,amd64,system interface for user-level packet capture
libpci3:amd64,1:3.3.1-1.1ubuntu1.2,amd64,Linux PCI Utilities (shared library)
libpciaccess0:amd64,0.13.4-1,amd64,Generic PCI access library for X
libpcre16-3:amd64,2:8.38-3.1,amd64,Perl 5 Compatible Regular Expression Library - 16 bit runtime files
libpcre3:amd64,2:8.38-3.1,amd64,Perl 5 Compatible Regular Expression Library - runtime files
libpcre3-dev:amd64,2:8.38-3.1,amd64,Perl 5 Compatible Regular Expression Library - development files
libpcre32-3:amd64,2:8.38-3.1,amd64,Perl 5 Compatible Regular Expression Library - 32 bit runtime files
libpcrecpp0v5:amd64,2:8.38-3.1,amd64,Perl 5 Compatible Regular Expression Library - C++ runtime files
libpcsclite1:amd64,1.8.14-1ubuntu1.16.04.1,amd64,Middleware to access a smart card using PC/SC (library)
libpeas-1.0-0:amd64,1.16.0-1ubuntu2,amd64,Application plugin library
libpeas-1.0-0-python3loader,1.16.0-1ubuntu2,amd64,Application plugin library
libpeas-common,1.16.0-1ubuntu2,all,Application plugin library (common files)
libperl5.22:amd64,5.22.1-9ubuntu0.3,amd64,shared Perl library
libperlio-gzip-perl,0.19-1build1,amd64,module providing a PerlIO layer to gzip/gunzip
libpipeline1:amd64,1.4.1-2,amd64,pipeline manipulation library
libpixman-1-0:amd64,0.33.6-1,amd64,pixel-manipulation library for X and cairo
libplist3:amd64,1.12-3.1ubuntu0.16.04.1,amd64,Library for handling Apple binary and XML property lists
libplymouth4:amd64,0.9.2-3ubuntu13.4,amd64,graphical boot animation and logger - shared libraries
libpng12-0:amd64,1.2.54-1ubuntu1,amd64,PNG library - runtime
libpolkit-agent-1-0:amd64,0.105-14.1,amd64,PolicyKit Authentication Agent API
libpolkit-backend-1-0:amd64,0.105-14.1,amd64,PolicyKit backend API
libpolkit-gobject-1-0:amd64,0.105-14.1,amd64,PolicyKit Authorization API
libpoppler-glib8:amd64,0.41.0-0ubuntu1.7,amd64,PDF rendering library (GLib-based shared library)
libpoppler58:amd64,0.41.0-0ubuntu1.7,amd64,PDF rendering library
libpopt0:amd64,1.16-10,amd64,lib for parsing cmdline parameters
libportaudio2:amd64,19+svn20140130-1build1,amd64,Portable audio I/O - shared library
libprocps4:amd64,2:3.3.10-4ubuntu2.3,amd64,library for accessing process information from /proc
libprotobuf-lite9v5:amd64,2.6.1-1.3,amd64,protocol buffers C++ library (lite version)
libprotobuf9v5:amd64,2.6.1-1.3,amd64,protocol buffers C++ library
libproxy1-plugin-gsettings:amd64,0.4.11-5ubuntu1,amd64,automatic proxy configuration management library (GSettings plugin)
libproxy1-plugin-networkmanager:amd64,0.4.11-5ubuntu1,amd64,automatic proxy configuration management library (Network Manager plugin)
libproxy1v5:amd64,0.4.11-5ubuntu1,amd64,automatic proxy configuration management library (shared)
libpulse-mainloop-glib0:amd64,1:8.0-0ubuntu3.10,amd64,PulseAudio client libraries (glib support)
libpulse0:amd64,1:8.0-0ubuntu3.10,amd64,PulseAudio client libraries
libpulsedsp:amd64,1:8.0-0ubuntu3.10,amd64,PulseAudio OSS pre-load library
libpwquality-common,1.3.0-0ubuntu1,all,library for password quality checking and generation (data files)
libpwquality1:amd64,1.3.0-0ubuntu1,amd64,library for password quality checking and generation
libpython-stdlib:amd64,2.7.12-1~16.04,amd64,interactive high-level object-oriented language (default python version)
libpython2.7:amd64,2.7.12-1ubuntu0~16.04.3,amd64,Shared Python runtime library (version 2.7)
libpython2.7-minimal:amd64,2.7.12-1ubuntu0~16.04.3,amd64,Minimal subset of the Python language (version 2.7)
libpython2.7-stdlib:amd64,2.7.12-1ubuntu0~16.04.3,amd64,"Interactive high-level object-oriented language (standard library, version 2.7)"
libpython3-stdlib:amd64,3.5.1-3,amd64,interactive high-level object-oriented language (default python3 version)
libpython3.5:amd64,3.5.2-2ubuntu0~16.04.4,amd64,Shared Python runtime library (version 3.5)
libpython3.5-minimal:amd64,3.5.2-2ubuntu0~16.04.4,amd64,Minimal subset of the Python language (version 3.5)
libpython3.5-stdlib:amd64,3.5.2-2ubuntu0~16.04.4,amd64,"Interactive high-level object-oriented language (standard library, version 3.5)"
libqmi-glib1:amd64,1.12.6-1,amd64,Support library to use the Qualcomm MSM Interface (QMI) protocol
libqmi-glib5:amd64,1.16.2-1ubuntu0.16.04.1,amd64,Support library to use the Qualcomm MSM Interface (QMI) protocol
libqmi-proxy,1.16.2-1ubuntu0.16.04.1,amd64,Proxy to communicate with QMI ports
libqpdf17:amd64,6.0.0-2,amd64,runtime library for PDF transformation/inspection software
libqpdf21:amd64,8.0.2-3~16.04.1,amd64,runtime library for PDF transformation/inspection software
libqqwing2v5:amd64,1.3.4-1,amd64,tool for generating and solving Sudoku puzzles (library)
libqt4-dbus:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 D-Bus module
libqt4-declarative:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 Declarative module
libqt4-network:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 network module
libqt4-script:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 script module
libqt4-sql:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 SQL module
libqt4-sql-sqlite:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 SQLite 3 database driver
libqt4-xml:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 XML module
libqt4-xmlpatterns:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 XML patterns module
libqt5core5a:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 core module
libqt5dbus5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 D-Bus module
libqt5feedback5:amd64,5.0~git20130529-0ubuntu13,amd64,Qt Feedback module
libqt5gui5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 GUI module
libqt5multimedia5:amd64,5.5.1-4ubuntu2,amd64,Qt 5 Multimedia module
libqt5network5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 network module
libqt5opengl5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 OpenGL module
libqt5organizer5:amd64,5.0~git20140515~29475884-0ubuntu20,amd64,"Qt PIM module, Organizer library"
libqt5positioning5:amd64,5.5.1-3ubuntu1,amd64,Qt Positioning module
libqt5printsupport5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 print support module
libqt5qml5:amd64,5.5.1-2ubuntu6,amd64,Qt 5 QML module
libqt5quick5:amd64,5.5.1-2ubuntu6,amd64,Qt 5 Quick library
libqt5quicktest5:amd64,5.5.1-2ubuntu6,amd64,Qt 5 Quick Test library
libqt5sql5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 SQL module
libqt5sql5-sqlite:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 SQLite 3 database driver
libqt5svg5:amd64,5.5.1-2build1,amd64,Qt 5 SVG module
libqt5test5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 test module
libqt5webkit5:amd64,5.5.1+dfsg-2ubuntu1,amd64,Web content engine library for Qt
libqt5widgets5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 widgets module
libqt5xml5:amd64,5.5.1+dfsg-16ubuntu7.5,amd64,Qt 5 XML module
libqtcore4:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 core module
libqtdbus4:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 D-Bus module library
libqtgui4:amd64,4:4.8.7+dfsg-5ubuntu2,amd64,Qt 4 GUI module
libquadmath0:amd64,5.4.0-6ubuntu1~16.04.9,amd64,GCC Quad-Precision Math Library
libquvi-scripts,0.4.21-2,all,library for parsing video download links (Lua scripts)
libquvi7:amd64,0.4.1-3,amd64,library for parsing video download links (runtime libraries)
librados2,10.2.9-0ubuntu0.16.04.1,amd64,RADOS distributed object store client library
libraptor2-0:amd64,2.0.14-1,amd64,Raptor 2 RDF syntax library
librasqal3:amd64,0.9.32-1,amd64,Rasqal RDF query library
libraw1394-11:amd64,2.1.1-2,amd64,library for direct access to IEEE 1394 bus (aka FireWire)
libraw15:amd64,0.17.1-1ubuntu0.3,amd64,raw image decoder library
librbd1,10.2.9-0ubuntu0.16.04.1,amd64,RADOS block device client library
librdf0:amd64,1.0.17-1build1,amd64,Redland Resource Description Framework (RDF) library
libreadline6:amd64,6.3-8ubuntu2,amd64,"GNU readline and history libraries, run-time libraries"
libreoffice-avmedia-backend-gstreamer,1:5.1.6~rc2-0ubuntu1~xenial3,amd64,GStreamer backend for LibreOffice
libreoffice-base-core,1:5.1.6~rc2-0ubuntu1~xenial3,amd64,office productivity suite -- shared library
libreoffice-calc,1:5.1.6~rc2-0ubuntu1~xenial3,amd64,office productivity suite -- spreadsheet
libreoffice-common,1:5.1.6~rc2-0ubuntu1~xenial3,all,office productivity suite -- arch-independent files
